row_number,visitor_id,search_timestamp,category,pro_user_id,num_reviews,avg_rating,pro_last_active_time_before_search,cost_estimate_dollars,result_position,service_page_viewed,contact_id,hired
24749,343171647386992000,2018-11-15 21:27:28.295 UTC,House Cleaning,324565082239230000,88,4.53,2018-11-15 20:39:46.049 UTC,90.0,2,True,343171743223095000,True
1327,340483507446309000,2018-10-15 18:45:08.047 UTC,House Cleaning,243894153096602000,88,4.72,2018-10-14 20:54:02.908 UTC,190.0,3,True,340483911541342000,False
6133,343855857720098000,2018-11-23 19:30:58.622 UTC,House Cleaning,301174224264462000,89,4.7,2018-11-23 11:04:19.664 UTC,127.0,1,True,343856077352148000,False
257,342985353228714000,2018-11-13 17:42:33.808 UTC,Local Moving (under 50 miles),306638833359372000,89,4.96,2018-11-13 16:07:02.435 UTC,89.0,1,True,342986220787916000,False
7686,339868871994646000,2018-10-08 16:01:13.008 UTC,House Cleaning,201452156007490000,345,4.49,2018-10-08 15:29:54.173 UTC,62.0,1,True,339869070885404000,False
21185,339608861138010000,2018-10-05 15:47:41.935 UTC,House Cleaning,277430698996982000,90,4.93,2018-10-04 10:58:14.487 UTC,110.0,1,True,339608947753582000,True
17586,343687576904302000,2018-11-21 20:46:17.681 UTC,Local Moving (under 50 miles),317366262509559000,90,4.19,2018-11-21 20:43:00.871 UTC,0.0,8,True,343687653951340000,False
20510,343441793598619000,2018-11-19 00:29:54.184 UTC,Local Moving (under 50 miles),317366262509559000,90,4.19,2018-11-18 21:40:32.373 UTC,0.0,2,True,343442350842585000,False
5435,344097147980333000,2018-11-26 14:32:28.844 UTC,House Cleaning,303698516886003000,90,4.63,2018-11-20 17:43:47.597 UTC,172.0,2,True,344097244852330000,False
2963,343449928919744000,2018-11-19 02:45:29.749 UTC,House Cleaning,268532670268712000,90,4.66,2018-11-19 01:27:40.585 UTC,120.0,2,True,343450252876218000,True
25143,343156419831406000,2018-11-15 17:13:40.608 UTC,House Cleaning,268532670268712000,90,4.66,2018-11-15 13:28:05.335 UTC,120.0,2,True,343156531406430000,False
4167,340480309788016000,2018-10-15 17:51:50.629 UTC,House Cleaning,208026073283642000,90,4.66,2018-10-15 15:59:40.142 UTC,60.0,1,True,340480408067219000,False
9072,339877730671452000,2018-10-08 18:28:51.614 UTC,House Cleaning,208026073283642000,90,4.66,2018-10-08 16:01:14.28 UTC,60.0,1,True,339878342669738000,True
938,344125209599303000,2018-11-26 22:20:10.304 UTC,Local Moving (under 50 miles),306638833359372000,90,4.96,2018-11-26 22:00:58.123 UTC,89.0,1,True,344125767187759000,True
4855,343544719976226000,2018-11-20 05:05:20.569 UTC,Local Moving (under 50 miles),306638833359372000,90,4.96,2018-11-20 04:49:28.187 UTC,89.0,1,True,343545503237775000,False
15630,344106467949256000,2018-11-26 17:07:48.618 UTC,Local Moving (under 50 miles),306638833359372000,90,4.96,2018-11-26 16:06:09.954 UTC,89.0,1,True,344106777544302000,False
2315,343072150430818000,2018-11-14 17:49:10.971 UTC,Local Moving (under 50 miles),299097399134945000,90,4.32,2018-11-11 22:39:04.693 UTC,95.0,1,True,343072531082313000,False
